label,email_text
phishing,"Urgent! Verify your bank account immediately http://fakebank-login.com"
phishing,"Click this link to reset your password http://secure-login-alert.net"
phishing,"Your PayPal account is suspended http://paypal-verify-user.com"
phishing,"Win a free iPhone now http://claim-prize.net"
phishing,"Update your credit card details now http://bank-security-check.com"
phishing,"Verify your login credentials immediately http://account-warning.net"
phishing,"Limited time offer click here http://free-money.xyz"
phishing,"Your account has been blocked verify now http://security-alert-login.com"
phishing,"Security alert login immediately http://verify-user-account.net"
phishing,"Claim your free reward now http://gift-reward.net"

safe,"Meeting scheduled tomorrow at 10AM"
safe,"Project report attached please review"
safe,"Happy birthday have a great day"
safe,"Let's have lunch tomorrow"
safe,"Your Amazon order has been shipped https://www.amazon.in"
safe,"Visit https://www.google.com for search"
safe,"GitHub repository updated https://github.com"
safe,"Microsoft meeting link https://www.microsoft.com"
safe,"Conference starts at 9AM"
safe,"Package tracking available at https://www.amazon.in"
